order_id,customer_id,order_date,order_amount,channel,campaign,product_category
O0000001,C100000,2024-11-28,19.12,Organic Search,None,Home
O0000002,C100000,2024-10-17,45.45,Organic Search,None,Home
O0000003,C100000,2024-08-23,54.8,Organic Search,None,Fashion
O0000004,C100000,2024-11-22,35.16,Organic Search,None,Home
O0000005,C100000,2025-02-14,43.09,Organic Search,Black Friday,Beauty
O0000006,C100000,2025-01-05,5.0,Organic Search,None,Fashion
O0000007,C100000,2024-12-27,28.35,Organic Search,Summer Sale,Groceries
O0000008,C100001,2025-11-24,55.3,Instagram,None,Home
O0000009,C100001,2025-11-24,74.34,Instagram,None,Fashion
O0000010,C100001,2025-11-24,15.55,Instagram,None,Home
O0000011,C100002,2025-03-31,24.06,Email,Summer Sale,Fashion
O0000012,C100002,2025-06-26,48.13,Email,Welcome Promo,Electronics
O0000013,C100002,2025-03-09,5.0,Email,None,Beauty
O0000014,C100002,2025-02-06,91.44,Email,None,Beauty
O0000015,C100003,2025-02-13,47.98,Facebook Ads,Black Friday,Fashion
O0000016,C100003,2024-12-25,63.58,Facebook Ads,Welcome Promo,Fashion
O0000017,C100003,2025-07-05,27.1,Facebook Ads,None,Groceries
O0000018,C100003,2025-07-14,58.55,Facebook Ads,Welcome Promo,Beauty
O0000019,C100004,2025-07-15,33.51,Email,None,Electronics
O0000020,C100004,2025-04-28,50.12,Email,Welcome Promo,Electronics
O0000021,C100004,2024-08-01,41.63,Email,Summer Sale,Electronics
O0000022,C100004,2024-10-27,54.95,Email,Summer Sale,Home
O0000023,C100004,2024-10-12,9.47,Email,Welcome Promo,Beauty
O0000024,C100005,2024-08-07,24.46,Facebook Ads,None,Electronics
O0000025,C100005,2024-11-12,38.32,Facebook Ads,None,Electronics
O0000026,C100005,2025-03-12,22.44,Facebook Ads,Summer Sale,Electronics
O0000027,C100005,2024-08-31,41.57,Facebook Ads,None,Electronics
O0000028,C100005,2024-08-25,62.99,Facebook Ads,Summer Sale,Home
O0000029,C100005,2024-11-12,5.0,Facebook Ads,None,Fashion
O0000030,C100006,2025-02-17,116.58,Facebook Ads,None,Electronics
O0000031,C100006,2024-09-15,75.75,Facebook Ads,None,Fashion
O0000032,C100006,2024-10-30,27.05,Facebook Ads,None,Beauty
O0000033,C100006,2024-08-26,48.41,Facebook Ads,None,Beauty
O0000034,C100007,2025-09-04,78.22,Email,Referral Bonus,Electronics
O0000035,C100007,2025-06-24,5.0,Email,None,Home
O0000036,C100007,2025-08-15,31.47,Email,Black Friday,Beauty
O0000037,C100007,2025-09-15,67.96,Email,None,Electronics
O0000038,C100007,2025-07-08,62.44,Email,Welcome Promo,Fashion
O0000039,C100008,2025-03-02,101.0,Organic Search,Welcome Promo,Fashion
O0000040,C100008,2025-05-25,13.49,Organic Search,None,Home
O0000041,C100008,2025-01-24,50.47,Organic Search,None,Electronics
O0000042,C100008,2025-03-06,37.37,Organic Search,Welcome Promo,Home
O0000043,C100008,2024-11-20,14.73,Organic Search,None,Beauty
O0000044,C100009,2025-04-03,93.04,Instagram,Summer Sale,Home
O0000045,C100009,2025-08-09,70.37,Instagram,Welcome Promo,Home
O0000046,C100009,2025-04-19,69.34,Instagram,Summer Sale,Electronics
O0000047,C100009,2025-04-30,19.5,Instagram,Summer Sale,Home
O0000048,C100009,2025-07-23,69.22,Instagram,None,Electronics
O0000049,C100009,2025-03-24,61.6,Instagram,None,Fashion
O0000050,C100009,2025-04-01,103.06,Instagram,None,Home
O0000051,C100010,2024-08-15,76.56,Organic Search,Summer Sale,Fashion
O0000052,C100010,2024-12-09,50.04,Organic Search,None,Beauty
O0000053,C100010,2024-08-21,35.44,Organic Search,None,Electronics
O0000054,C100010,2024-07-01,65.69,Organic Search,None,Groceries
O0000055,C100010,2025-03-21,66.74,Organic Search,None,Electronics
O0000056,C100011,2026-03-02,25.78,Direct,None,Groceries
O0000057,C100011,2026-03-02,45.53,Direct,Welcome Promo,Beauty
O0000058,C100011,2026-03-02,62.86,Direct,Welcome Promo,Electronics
O0000059,C100011,2026-03-02,39.77,Direct,Black Friday,Home
O0000060,C100011,2026-03-02,58.66,Direct,None,Groceries
O0000061,C100012,2025-06-14,59.25,Direct,Summer Sale,Home
O0000062,C100012,2025-08-18,42.31,Direct,Referral Bonus,Beauty
O0000063,C100014,2024-12-15,32.6,Facebook Ads,None,Electronics
O0000064,C100014,2025-03-26,49.06,Facebook Ads,None,Fashion
O0000065,C100014,2024-09-01,18.11,Facebook Ads,None,Fashion
O0000066,C100014,2025-05-27,77.46,Facebook Ads,Summer Sale,Home
O0000067,C100015,2025-01-28,35.02,Direct,Black Friday,Fashion
O0000068,C100015,2025-04-07,5.0,Direct,None,Beauty
O0000069,C100015,2024-08-24,12.35,Direct,None,Fashion
O0000070,C100015,2025-06-03,56.5,Direct,None,Home
O0000071,C100015,2024-08-02,37.09,Direct,Welcome Promo,Groceries
O0000072,C100015,2024-08-10,28.46,Direct,None,Groceries
O0000073,C100015,2024-10-11,20.66,Direct,None,Groceries
O0000074,C100016,2024-12-28,45.75,Organic Search,None,Electronics
O0000075,C100016,2024-11-06,29.97,Organic Search,Welcome Promo,Fashion
O0000076,C100017,2024-11-06,54.24,Instagram,None,Groceries
O0000077,C100017,2024-10-01,50.06,Instagram,None,Home
O0000078,C100017,2025-01-04,32.91,Instagram,None,Home
O0000079,C100017,2025-01-03,35.39,Instagram,Black Friday,Electronics
O0000080,C100018,2024-11-19,44.16,Direct,Referral Bonus,Beauty
O0000081,C100018,2024-12-06,6.13,Direct,None,Groceries
O0000082,C100018,2024-09-29,76.28,Direct,Referral Bonus,Home
O0000083,C100018,2025-05-24,26.02,Direct,None,Groceries
O0000084,C100018,2025-04-01,59.72,Direct,None,Groceries
O0000085,C100019,2024-08-21,95.63,Organic Search,Welcome Promo,Beauty
O0000086,C100019,2025-05-31,41.9,Organic Search,None,Home
O0000087,C100019,2025-04-05,18.3,Organic Search,Welcome Promo,Electronics
O0000088,C100019,2024-10-07,73.41,Organic Search,None,Electronics
O0000089,C100020,2024-11-25,75.78,Facebook Ads,Summer Sale,Groceries
O0000090,C100020,2025-02-24,95.49,Facebook Ads,Summer Sale,Beauty
O0000091,C100020,2025-08-18,67.47,Facebook Ads,Welcome Promo,Groceries
O0000092,C100020,2024-11-27,37.59,Facebook Ads,None,Fashion
O0000093,C100020,2025-10-03,80.86,Facebook Ads,Welcome Promo,Fashion
O0000094,C100020,2025-02-19,5.0,Facebook Ads,Welcome Promo,Home
O0000095,C100020,2024-10-10,63.85,Facebook Ads,None,Home
O0000096,C100020,2025-02-27,5.0,Facebook Ads,None,Beauty
O0000097,C100022,2024-10-09,22.79,Direct,None,Electronics
O0000098,C100022,2025-08-22,62.76,Direct,None,Home
O0000099,C100023,2025-05-17,39.51,Direct,Summer Sale,Home
O0000100,C100023,2024-08-22,56.76,Direct,None,Home
O0000101,C100023,2024-11-12,60.53,Direct,Black Friday,Groceries
O0000102,C100023,2025-02-19,5.0,Direct,Welcome Promo,Home
O0000103,C100023,2024-08-02,5.0,Direct,None,Home
O0000104,C100024,2025-07-07,90.4,Direct,None,Groceries
O0000105,C100024,2024-10-09,82.12,Direct,None,Groceries
